japanese,english
みすみ,Misumi
三角,Misumi
みなとがわ,Minatogawa
湊川,Minatogawa
みなみのべおか,Minaminobeoka
南延岡,Minaminobeoka
南熊本,Minami-kumamoto
みはら,Mihara
三原,Mihara
めぐろ,Meguro
目黒,Meguro
きょうと,Kyōto
京都,Kyōto
くりはま,Kurihama
久里浜,Kurihama
くめ,Kume
久米,Kume
熊本,Kumamoto Railway Station
おぐら,Kokura
こくら,Kokura
小倉,Kokura
こうち,Kōchi
高知,Kōchi
こうべ,Kōbe
神戸,Kōbe
きたかまくら,Kitakamakura
北鎌倉,Kitakamakura
きそふくしま,Kiso-Fukushima
木曽福島,Kiso-Fukushima
きくま,Kikuma
菊間,Kikuma
けあげ,Keage
蹴上,Keage
かわさき,Kawasaki
川崎,Kawasaki
かすがばる,Kasugabaru
春日原,Kasugabaru
かるいざわ,Karuizawa
軽井沢,Karuizawa
かなざわ,Kanazawa
金沢,Kanazawa
かみくまもと,Kamikumamoto
上熊本,Kamikumamoto
かめいど,Kameido
亀戸,Kameido
かごしま,Kagoshima
鹿児島,Kagoshima
かがみがはら,Kagamigahara
各務ケ原,Kagamigahara
各務ヶ原,Kagamigahara
いわくに,Iwakuni
岩国,Iwakuni
いとざき,Itozaki
糸崎,Itozaki
いしうち,Ishiuchi
石打,Ishiuchi
いせおきつ,Ise Okitsu
伊勢奥津,Ise Okitsu
いまばり,Imabari
今治,Imabari
いけぶくろ,Ikebukuro
池袋,Ikebukuro
いがしま,Igashima
五十島,Igashima
ひょうご,Hyōgo
兵庫,Hyōgo
ほうきだいせん,Hōki Daisen
伯耆大山,Hōki Daisen
いよほうじょう,Iyo-Hōjō
伊予北条,Iyo-Hōjō
ほどがや,Hodogaya
保土ケ谷,Hodogaya
保土ヶ谷,Hodogaya
ひぜんやまぐち,Hizen Yamaguchi
肥前山口,Hizen Yamaguchi
ひろしま,Hiroshima
広島,Hiroshima
ひろ,Hiro
広,Hiro
ひがしたごのうら,Higashi-tagonoura
東田子の浦,Higashi-tagonoura
ひがしさんじょう,Higashisanjō
東三条,Higashisanjō
ひがしなだ,Higashi-nada
東灘,Higashi-nada
ひがしまいづる,Higashimaizuru
東舞鶴,Higashimaizuru
ひがしかなざわ,Higashikanazawa
東金沢,Higashikanazawa
ひがしかながわ,Higashikanagawa
東神奈川,Higashikanagawa
はたぶ,Hatabu
幡生,Hatabu
はしはま,Hashihama
波止浜,Hashihama
はなてん,Hanaten
放出,Hanaten
はこざき,Hakozaki
箱崎,Hakozaki
はかた,Hakata
博多,Hakata
ごとう,Gotō
後藤,Gotō
ふしき,Fushiki
伏木,Fushiki
てんじん,Tenjin
天神,Tenjin
西鉄福岡(天神),Tenjin
えちごかわぐち,Echigokawaguchi
越後川口,Echigokawaguchi
びっちゅうこうじろ,Bitchū Kōjiro
備中神代,Bitchū Kōjiro
ばんしゅうあこう,Banshūakō
播州赤穂,Banshūakō
あわいけだ,Awa Ikeda
阿波池田,Awa Ikeda
あしがら,Ashigara
足柄,Ashigara
あまがさき,Amagasaki
尼崎,Amagasaki
あまがさき,Amagasaki
尼崎,Amagasaki
あきはばら,Akihabara
秋葉原,Akihabara
あかばね,Akabane
赤羽,Akabane
あじかわぐち,Ajikawaguchi
安治川口,Ajikawaguchi
あいづわかまつ,Aizuwakamatsu
会津若松,Aizuwakamatsu
いのう,Inō
居能,Inō
きわ,Kiwa
岐波,Kiwa
ひかり,Hikari
光,Hikari
しまた,Shimata
島田,Shimata
いわた,Iwata
岩田,Iwata
うべしんかわ,Ube-shinkawa
宇部新川,Ube-shinkawa
すずめだ,Suzumeda
雀田,Suzumeda
ながともとやま,Nagato-motoyama
長門本山,Nagato-motoyama
うさ,Usa
宇佐,Usa
ぶぜんぜんこうじ,Buzen Zenkōji
豊前善光寺,Buzen Zenkōji
きつき,Kitsuki
杵築,Kitsuki
ゆふいん,Yufuin
由布院,Yufuin
たきお,Takio
滝尾,Takio
賀来,Kaku
ゆのひら,Yunohira
湯平,Yunohira
ぐんちゅう,Gunchū
郡中,Gunchū
うぜんちとせ,Uzenchitose
羽前千歳,Uzenchitose
うごほんじょう,Ugo-Honjō
羽後本荘,Ugo-Honjō
とうかい,Tōkai
東海,Tōkai
しないぬま,Shinainuma
品井沼,Shinainuma
なこそ,Nakoso
勿来,Nakoso
みと,Mito
水戸,Mito
まつぎし,Matsugishi
松岸,Matsugishi
あさかながもり,Asakanagamori
安積永盛,Asakanagamori
たけうら,Takeura
竹浦,Takeura
しんあさひかわ,Shinasahikawa
新旭川,Shinasahikawa
さむらいはま,Samuraihama
侍浜,Samuraihama
さめ,Same
鮫,Same
るもい,Rumoi
留萌,Rumoi
れぶん,Rebun
礼文,Rebun
おたるちっこう,Otaruchikkō
小樽築港,Otaruchikkō
おたる,Otaru
小樽,Otaru
のない,Nonai
野内,Nonai
のかなん,Nokanan
野花南,Nokanan
なかのさわ,Nakanosawa
中ノ沢,Nakanosawa
なえぼ,Naebo
苗穂,Naebo
むつみなと,Mutsuminato
陸奥湊,Mutsuminato
むろらん,Muroran
室蘭,Muroran
もとわにし,Motowanishi
本輪西,Motowanishi
みなみおたる,Minamiotaru
南小樽,Minamiotaru
くしろ,Kushiro
釧路,Kushiro
こなかの,Konakano
小中野,Konakano
きたみえさし,Kitami-esashi
北見枝幸,Kitami-esashi
ひがしむろらん,Higashimuroran
東室蘭,Higashimuroran
はなさき,Hanasaki
花咲,Hanasaki
はこだて,Hakodate
函館,Hakodate
ほんはちのへ,Honhachinohe
本八戸,Honhachinohe
ごりょうかく,Goryōkaku
五稜郭,Goryōkaku
ふらの,Furano
富良野,Furano
だてもんべつ,Datemonbetsu
伊達紋別,Datemonbetsu
あさひかわ,Asahikawa
旭川,Asahikawa
あらやしんまち,Araya Shinmachi
荒屋新町,Araya Shinmachi
あおもり,Aomori
青森,Aomori
有松,Arimatsu
たかやま,Takayama station
高山,Takayama station
にっぽり,Nippori
日暮里,Nippori
高松,Takamatsu
ことひら,Kotohira
琴平,Kotohira
宿毛,Sukumo
佐伯,Saeki
大分,Ōita
日田,Hida
根雨,Neu
浜松町,Hamamatsuchō
しおみ,Shiomi
潮見,Shiomi
たつみ,Tatsumi
辰巳,Tatsumi
武蔵藤沢,Musashi-fujisawa station
さっぽろ,Sapporo Station
札幌,Sapporo Station
わっかない,Wakkanai
稚内,Wakkanai
ほりかわ,Horikawa
堀川,Horikawa
しんすや,Shinsuya
新須屋,Shinsuya
すや,Suya
須屋,Suya
みついし,Mitsuishi
三ツ石,Mitsuishi
くろいし,Kuroishi
黒石,Kuroishi
みよし,Miyoshi
御代志,Miyoshi
かめい,Kamei
亀井,Kamei
きたくまもと,Kitakumamoto
北熊本,Kitakumamoto
うちこし,Uchikoshi
打越,Uchikoshi
かんかんざか,Kankanzaka
韓々坂,Kankanzaka
すぎども,Sugidomo
杉塘,Sugidomo
しれとこしゃり,Shiretoko-shari
知床斜里,Shiretoko-shari
なかしゃり,Nakashari
中斜里,Nakashari
やむべつ,Yanbetsu
やんべつ,Yanbetsu
止別,Yanbetsu
みなみしゃり,Minamishari
南斜里,Minamishari
きよさとちょう,Kiyosatochō
清里町,Kiyosatochō
さっつる,Sattsuru
札弦,Sattsuru
いそぶんない,Isobunnai
磯分内,Isobunnai
ひがしねむろ,Higashinemuro
東根室,Higashinemuro
ねむろ,Nemuro
根室,Nemuro
にしわだ,Nishiwada
西和田,Nishiwada
こんぶもり,Konbumori
昆布盛,Konbumori
おちいし,Ochiishi
落石,Ochiishi
べっとが,Bettoga
別当賀,Bettoga
はったうし,Hattaushi
初田牛,Hattaushi
じんば,Jinba
陣場,Jinba
いわだて,Iwadate
岩館,Iwadate
あきたしらかみ,Akitashirakami
あきた白神,Akitashirakami
しらさわ,Shirasawa
白沢,Shirasawa
たきのま,Takinoma
滝ノ間,Takinoma
はちもり,Hachimori
八森,Hachimori
ひがしはちもり,Higashihachimori
東八森,Higashihachimori
おおだて,Ōdate
大館,Ōdate
とわだみなみ,Towadaminami
十和田南,Towadaminami
しもかわぞい,Shimokawazoi
下川沿,Shimokawazoi
しんとつかわ,Shintotsukawa
新十津川,Shintotsukawa
なかとっぷ,Nakatoppu
中徳富,Nakatoppu
しもとっぷ,Shimotoppu
下徳富,Shimotoppu
すながわ,Sunagawa
砂川,Sunagawa
みなみしもとっぷ,Minamishimotoppu
南下徳富,Minamishimotoppu
とよぬま,Toyonuma
豊沼,Toyonuma
おさつない,Osatsunai
於札内,Osatsunai
つるぬま,Tsurunuma
鶴沼,Tsurunuma
ないえ,Naie
奈井江,Naie
うらうす,Urausu
浦臼,Urausu
さってき,Satteki
札的,Satteki
おそきない,Osokinai
晩生内,Osokinai
ちゃしない,Chashinai
茶志内,Chashinai
さっぴない,Sappinai
札比内,Sappinai
とよがおか,Toyogaoka
豊ヶ岡,Toyogaoka
びばい,Bibai
美唄,Bibai
いしかりつきがた,Ishikaritsukigata
石狩月形,Ishikaritsukigata
ちらいおつ,Chiraiotsu
知来乙,Chiraiotsu
あっとこ,Attoko
厚床,Attoko
あねべつ,Anebetsu
姉別,Anebetsu
はまなか,Hamanaka
浜中,Hamanaka
ちゃない,Chanai
茶内,Chanai
しべちゃ,Shibecha
標茶,Shibecha
いといざわ,Itoizawa
糸魚沢,Itoizawa
ごじっこく,Gojikkoku
五十石,Gojikkoku
あっけし,Akkeshi
厚岸,Akkeshi
もんしず,Monshizu
門静,Monshizu
おぼろ,Oboro
尾幌,Oboro
かみおぼろ,Kamioboro
上尾幌,Kamioboro
かつらだい,Katsuradai
桂台,Katsuradai
あばしり,Abashiri
網走,Abashiri
はまこしみず,Hamakoshimizu
浜小清水,Hamakoshimizu
ますうら,Masuura
鱒浦,Masuura
げんせいかえん,Gensei Kaen
原生花園,Gensei Kaen
きたはま,Kitahama
北浜,Kitahama
もこと,Mokoto
藻琴,Mokoto
よびと,Yobito
呼人,Yobito
めまんべつ,Memanbetsu Railway Station
女満別,Memanbetsu Railway Station
にしめまんべつ,Nishimemanbetsu
西女満別,Nishimemanbetsu
みどり,Midori
緑,Midori
びほろ,Bihoro
美幌,Bihoro
かわゆおんせん,Kawayu Onsen
川湯温泉,Kawayu Onsen
びるわ,Biruwa
美留和,Biruwa
ましゅう,Mashū
摩周,Mashū
みなみてしかが,Minamiteshikaga
南弟子屈,Minamiteshikaga
かやぬま,Kayanuma
茅沼,Kayanuma
とうろ,Tōro
塘路,Tōro
ほそおか,Hosooka
細岡,Hosooka
くしろしつげん,Kushiro Shitsugen
釧路湿原,Kushiro Shitsugen
とおや,Tōya
遠矢,Tōya
べっぽ,Beppo
別保,Beppo
むさ,Musa
武佐,Musa
ひがしくしろ,Higashikushiro
東釧路,Higashikushiro
しんふじ,Shinfuji
新富士,Shinfuji
しんおたのしけ,Shin’otanoshike
新大楽毛,Shin’otanoshike
おたのしけ,Otanoshike
大楽毛,Otanoshike
しょろ,Shoro
庶路,Shoro
にししょろ,Nishishoro
西庶路,Nishishoro
しらぬか,Shiranuka
白糠,Shiranuka
ふるせ,Furuse
古瀬,Furuse
えんがる,Engaru
遠軽,Engaru
ひうしない,Hiushinai
緋牛内,Hiushinai
やすくに,Yasukuni
安国,Yasukuni
たんの,Tanno
端野,Tanno
いくの,Ikuno
生野,Ikuno
いとしの,Itoshino
愛し野,Itoshino
はくよう,Hakuyō
柏陽,Hakuyō
いくたはら,Ikutahara
生田原,Ikutahara
きたみ,Kitami
北見,Kitami
にしきたみ,Nishikitami
西北見,Nishikitami
ひがしあいのない,Higashiainonai
東相内,Higashiainonai
あいのない,Ainonai
相内,Ainonai
かねはな,Kanehana
金華,Kanehana
るべしべ,Rubeshibe
留辺蘂,Rubeshibe
にしるべしべ,Nishirubeshibe
西留辺蘂,Nishirubeshibe
おんべつ,Onbetsu
音別,Onbetsu
しゃくべつ,Shakubetsu
尺別,Shakubetsu
ちょくべつ,Chokubetsu
直別,Chokubetsu
かみあつない,Kamiatsunai
上厚内,Kamiatsunai
あつない,Atsunai
厚内,Atsunai
いけだ,Ikeda
池田,Ikeda
うらほろ,Urahoro
浦幌,Urahoro
とおふつ,Tōfutsu
十弗,Tōfutsu
とよころ,Toyokoro
豊頃,Toyokoro
しんよしの,Shin’yoshino
新吉野,Shin’yoshino
さっくる,Sakkuru
咲来,Sakkuru
とよしみず,Toyoshimizu
豊清水,Toyoshimizu
おんねない,Onnenai
恩根内,Onnenai
もんぽない,Monponai
紋穂内,Monponai
はつの,Hatsuno
初野,Hatsuno
びふか,Bifuka
美深,Bifuka
ちほく,Chihoku
智北,Chihoku
ちえぶん,Chiebun
智恵文,Chiebun
みなみびふか,Minamibifuka
南美深,Minamibifuka
ほくせい,Hokusei
北星,Hokusei
ちとう,Chitō
智東,Chitō
にっしん,Nisshin
日進,Nisshin
なよろ,Nayoro
名寄,Nayoro
ひがしふうれん,Higashifūren
東風連,Higashifūren
ふうれん,Fūren
風連,Fūren
みずほ,Mizuho
瑞穂,Mizuho
しんさかえの,Shinsakaeno
新栄野,Shinsakaeno
たよろ,Tayoro
多寄,Tayoro
せとせ,Setose
瀬戸瀬,Setose
まるせっぷ,Maruseppu
丸瀬布,Maruseppu
しもしべつ,Shimoshibetsu
下士別,Shimoshibetsu
しべつ,Shibetsu
士別,Shibetsu
きたけんぶち,Kitakenbuchi
北剣淵,Kitakenbuchi
しもしらたき,Shimoshirataki
下白滝,Shimoshirataki
きゅうしらたき,Kyūshirataki
旧白滝,Kyūshirataki
けんぶち,Kenbuchi
剣淵,Kenbuchi
ひがしろくせん,Higashirokusen
東六線,Higashirokusen
しらたき,Shirataki
白滝,Shirataki
かみしらたき,Kamishirataki
上白滝,Kamishirataki
わっさむ,Wassamu
和寒,Wassamu
しおかり,Shiokari
塩狩,Shiokari
なかあいべつ,Nakaaibetsu
中愛別,Nakaaibetsu
らんる,Ranru
蘭留,Ranru
あいべつ,Aibetsu
愛別,Aibetsu
かみかわ,Kamikawa
上川,Kamikawa
あいざん,Aizan
愛山,Aizan
きたぴっぷ,Kitapippu
北比布,Kitapippu
あんたろま,Antaroma
安足間,Antaroma
しののめ,Shinonome
東雲,Shinonome
いかうし,Ikaushi
伊香牛,Ikaushi
ぴっぷ,Pippu
比布,Pippu
しょうぐんざん,Shōgunzan
将軍山,Shōgunzan
みなみぴっぷ,Minamipippu
南比布,Minamipippu
とうま,Tōma
当麻,Tōma
きたながやま,Kitanagayama
北永山,Kitanagayama
ながやま,Nagayama
永山,Nagayama
さくらおか,Sakuraoka
桜岡,Sakuraoka
きたひので,Kitahinode
北日ノ出,Kitahinode
ひがしあさひかわ,Higashiasahikawa
東旭川,Higashiasahikawa
みなみながやま,Minaminagayama
南永山,Minaminagayama
ちかぶみ,Chikabumi
近文,Chikabumi
あさひかわよじょう,Asahikawayojō
旭川四条,Asahikawayojō
いのう,Inō
伊納,Inō
かぐらおか,Kaguraoka
神楽岡,Kaguraoka
みどりがおか,Midorigaoka
緑が丘,Midorigaoka
にしごりょう,Nishigoryō
西御料,Nishigoryō
にしみずほ,Nishimizuho
西瑞穂,Nishimizuho
にしかぐら,Nishikagura
西神楽,Nishikagura
にしせいわ,Nishiseiwa
西聖和,Nishiseiwa
ちよがおか,Chiyogaoka
千代ヶ岡,Chiyogaoka
きたびえい,Kitabiei
北美瑛,Kitabiei
びえい,Biei
美瑛,Biei
びばうし,Bibaushi
美馬牛,Bibaushi
かみふらの,Kamifurano
上富良野,Kamifurano
にしなか,Nishinaka
西中,Nishinaka
なかふらの,Nakafurano
中富良野,Nakafurano
しかうち,Shikauchi
鹿討,Shikauchi
しまのした,Shimanoshita
島ノ下,Shimanoshita
がくでん,Gakuden
学田,Gakuden
ぬのべ,Nunobe
布部,Nunobe
やまべ,Yamabe
山部,Yamabe
しもかなやま,Shimokanayama
下金山,Shimokanayama
いくとら,Ikutora
幾寅,Ikutora
としべつ,Toshibetsu
利別,Toshibetsu
ひがししかごえ,Higashishikagoe
東鹿越,Higashishikagoe
おちあい,Ochiai
落合,Ochiai
しんとく,Shintoku
新得,Shintoku
まくべつ,Makubetsu
幕別,Makubetsu
かなやま,Kanayama
金山,Kanayama
いなしべつ,Inashibetsu
稲士別,Inashibetsu
さつない,Satsunai
札内,Satsunai
とかちしみず,Tokachishimizu
十勝清水,Tokachishimizu
はくりんだい,Hakurindai
柏林台,Hakurindai
おびひろ,Obihiro
帯広,Obihiro
とまむ,Tomamu
トマム,Tomamu
にしおびひろ,Nishiobihiro
西帯広,Nishiobihiro
おおなり,Ōnari
大成,Ōnari
はおび,Haobi
羽帯,Haobi
みかげ,Mikage
御影,Mikage
めむろ,Memuro
芽室,Memuro
しむかっぷ,Shimukappu
占冠,Shimukappu
あつが,Atsuga
厚賀,Atsuga
おおかりべ,Ōkaribe
大狩部,Ōkaribe
せっぷ,Seppu
節婦,Seppu
にいかっぷ,Niikappu
新冠,Niikappu
しずない,Shizunai
静内,Shizunai
ひがししずない,Higashishizunai
東静内,Higashishizunai
ほうえい,Hōei
蓬栄,Hōei
ひだかとうべつ,Hidakatōbetsu
日高東別,Hidakatōbetsu
ほんきり,Honkiri
本桐,Honkiri
はるたち,Harutachi
春立,Harutachi
ひだかみついし,Hidakamitsuishi
日高三石,Hidakamitsuishi
えふえ,Efue
絵笛,Efue
おぎふし,Ogifushi
荻伏,Ogifushi
にしさまに,Nishisamani
西様似,Nishisamani
さまに,Samani
様似,Samani
うらかわ,Urakawa
浦河,Urakawa
うとま,Utoma
鵜苫,Utoma
ひがしちょう,Higashichō
東町,Higashichō
ひだかほろべつ,Hidaka-horobetsu
日高幌別,Hidaka-horobetsu
みなみわっかない,Minamiwakkanai
南稚内,Minamiwakkanai
ばっかい,Bakkai
抜海,Bakkai
ゆうち,Yūchi
勇知,Yūchi
かぶとぬま,Kabutonuma
兜沼,Kabutonuma
とくみつ,Tokumitsu
徳満,Tokumitsu
とよとみ,Toyotomi
豊富,Toyotomi
しもぬま,Shimonuma
下沼,Shimonuma
みなみしもぬま,Minamishimonuma
南下沼,Minamishimonuma
ほろのべ,Horonobe
幌延,Horonobe
かみほろのべ,Kamihoronobe
上幌延,Kamihoronobe
みなみほろのべ,Minamihoronobe
南幌延,Minamihoronobe
やすうし,Yasuushi
安牛,Yasuushi
ぬかなん,Nukanan
糠南,Nukanan
といかんべつ,Toikanbetsu
問寒別,Toikanbetsu
おのっぷない,Onoppunai
雄信内,Onoppunai
うたない,Utanai
歌内,Utanai
てしおなかがわ,Teshio-nakagawa
天塩中川,Teshio-nakagawa
おといねっぷ,Otoineppu
音威子府,Otoineppu
おさしま,Osashima
筬島,Osashima
さく,Saku
佐久,Saku
てしおがわおんせん,Teshiogawa Onsen
天塩川温泉,Teshiogawa Onsen
せごし,Segoshi
瀬越,Segoshi
おわだ,Owada
大和田,Owada
れうけ,Reuke
礼受,Reuke
ふじやま,Fujiyama
藤山,Fujiyama
あふん,Afun
阿分,Afun
えびしま,Ebishima
恵比島,Ebishima
とうげした,Tōgeshita
峠下,Tōgeshita
ひがしほろぬか,Higashihoronuka
東幌糠,Higashihoronuka
ほろぬか,Horonuka
幌糠,Horonuka
まっぷ,Mappu
真布,Mappu
のぶしゃ,Nobusha
信砂,Nobusha
しゃぐま,Shaguma
舎熊,Shaguma
いしかりぬまた,Ishikarinumata
石狩沼田,Ishikarinumata
しゅもんべつ,Shumonbetsu
朱文別,Shumonbetsu
はしべつ,Hashibetsu
箸別,Hashibetsu
ましけ,Mashike
増毛,Mashike
きたちっぷべつ,Kitachippubetsu
北秩父別,Kitachippubetsu
ちっぷべつ,Chippubetsu
秩父別,Chippubetsu
おさむない,Osamunai
納内,Osamunai
きたいちやん,Kitaichiyan
北一己,Kitaichiyan
北一已,Kitaichiyan
ふかがわ,Fukagawa
深川,Fukagawa
もせうし,Moseushi
妹背牛,Moseushi
えべおつ,Ebeotsu
江部乙,Ebeotsu
ひがしたきかわ,Higashitakikawa
東滝川,Higashitakikawa
あかびら,Akabira
赤平,Akabira
ひらぎし,Hiragishi
平岸,Hiragishi
もしり,Moshiri
茂尻,Moshiri
あしべつ,Ashibetsu
芦別,Ashibetsu
たきかわ,Takikawa
滝川,Takikawa
かみあしべつ,Kamiashibetsu
上芦別,Kamiashibetsu
こうしゅない,Kōshunai
光珠内,Kōshunai
つきがおか,Tsukigaoka
月ヶ岡,Tsukigaoka
なかごや,Nakagoya
中小屋,Nakagoya
みねのぶ,Minenobu
峰延,Minenobu
もとなかごや,Motonakagoya
本中小屋,Motonakagoya
いしかりかなざわ,Ishikarikanazawa
石狩金沢,Ishikarikanazawa
いわみさわ,Iwamizawa Railway Station
岩見沢,Iwamizawa Railway Station
ほっかいどういりょうだいがく,Hokkaidō Iryō Daigaku
北海道医療大学,Hokkaidō Iryō Daigaku
いしかりとうべつ,Ishikaritōbetsu
石狩当別,Ishikaritōbetsu
かみほろむい,Kamihoromui
上幌向,Kamihoromui
しぶん,Shibun
志文,Shibun
いしかりふとみ,Ishikarifutomi
石狩太美,Ishikarifutomi
ほろむい,Horomui
幌向,Horomui
くりさわ,Kurisawa
栗沢,Kurisawa
とよほろ,Toyohoro
豊幌,Toyohoro
あいのさとこうえん,Ainosatokōen
あいの里公園,Ainosatokōen
あいのさときょいくだい,Ainosatokyōikudai
あいの里教育大,Ainosatokyōikudai
たくほく,Takuhoku
拓北,Takuhoku
しのろ,Shinoro
篠路,Shinoro
ゆうばり,Yūbari
夕張,Yūbari
あさり,Asari
朝里,Asari
くりおか,Kurioka
栗丘,Kurioka
えべつ,Ebetsu
江別,Ebetsu
はりうす,Hariusu
張碓,Hariusu
しかのたに,Shikanotani
鹿ノ谷,Shikanotani
ゆりがはら,Yurigahara
百合が原,Yurigahara
たかさご,Takasago
高砂,Takasago
たいへい,Taihei
太平,Taihei
ぜにばこ,Zenibako
銭函,Zenibako
くりやま,Kuriyama
栗山,Kuriyama
のっぽろ,Nopporo
野幌,Nopporo
さかえちょう,Sakaechō
栄町,Sakaechō
ほしおき,Hoshioki
星置,Hoshioki
ほしみ,Hoshimi
ほしみ,Hoshimi
いなほ,Inaho
稲穂,Inaho
しんことに,Shinkotoni
新琴似,Shinkotoni
しんどうひがし,Shindōhigashi
新道東,Shindōhigashi
ていね,Teine
手稲,Teine
あさぶ,Asabu
麻生,Asabu
しみずさわ,Shimizusawa
清水沢,Shimizusawa
いなづみこうえん,Inazumikōen
稲積公園,Inazumikōen
きたさんじゅうよんじょう,Kitasanjūyonjō
北34条,Kitasanjūyonjō
もとまち,Motomachi
元町,Motomachi
しんかわ,Shinkawa
新川,Shinkawa
おおあさ,Ōasa
大麻,Ōasa
はっさむ,Hassamu
発寒,Hassamu
きたにじゅうよんじょう,Kitanijūyonjō
北24条,Kitanijūyonjō
みなみしみずさわ,Minamishimizusawa
南清水沢,Minamishimizusawa
かんじょうどおりひがし,Kanjōdōrihigashi
環状通東,Kanjōdōrihigashi
はっさむちゅうおう,Hassamuchūō
発寒中央,Hassamuchūō
はちけん,Hachiken
八軒,Hachiken
きたじゅうはちじょう,Kitajūhachijō
北18条,Kitajūhachijō
みやのさわ,Miyanosawa
宮の沢,Miyanosawa
ひがしくやくしょまえ,Higashikuyakushomae
東区役所前,Higashikuyakushomae
きたじゅうさんじょうひがし,Kitajūsanjōminami
北13条東,Kitajūsanjōminami
ゆに,Yuni
由仁,Yuni
ことに,Kotoni
琴似,Kotoni
きたじゅうにじょう,Kitajūnijō
北12条,Kitajūnijō
しんりんこうえん,Shinrinkōen
森林公園,Shinrinkōen
はっさむみなみ,Hassamuminami
発寒南,Hassamuminami
そうえん,Sōen
桑園,Sōen
さっぽろ,Sapporo
さっぽろ,Sapporo
にじゅうよんけん,Nijūyonken
二十四軒,Nijūyonken
ぬまのさわ,Numanosawa
沼ノ沢,Numanosawa
しろいし,Shiroishi
白石,Shiroishi
ばすせんたーまえ,Bus Center-mae
バスセンター前,Bus Center-mae
おおどおり,Ōdōri
大通,Ōdōri
きくすい,Kikusui
菊水,Kikusui
あつべつ,Atsubetsu
厚別,Atsubetsu
にしよんちょうめ,Nishiyonchōme
西4丁目,Nishiyonchōme
へいわ,Heiwa
